Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
ROMO,Rocky Mountain National Park,Mammal,1,Artiodactyla,Antilocapridae,95067,180717,Active,Antilocapra americana,Pronghorn Antelope,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Artiodactyla,Bovidae,86816,183838,Active,Bos taurus,"aurochs, Aurochs, domestic cattle (feral), domesticated cattle",,Present
ROMO,Rocky Mountain National Park,Mammal,1,Artiodactyla,Bovidae,95061,180711,Active,Ovis canadensis,bighorn sheep,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Artiodactyla,Cervidae,95052,180703,Active,Alces alces,Moose,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Artiodactyla,Cervidae,95042,180695,Active,Cervus elaphus,"wapiti, or American elk",,Present
ROMO,Rocky Mountain National Park,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,mule deer,Odocoileus hemionus hemionus,Present
ROMO,Rocky Mountain National Park,Mammal,1,Artiodactyla,Cervidae,95046,180699,Active,Odocoileus virginianus,white-tailed deer,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,coyote,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,gray fox,,Probably Present
ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,red fox,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Felidae,93325,180585,Active,Lynx canadensis,lynx,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,mountain lion,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,striped skunk,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Mephitidae,264255,552466,Active,Spilogale gracilis,western spotted skunk,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Mustelidae,93288,180551,Active,Gulo gulo,wolverine,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,river otter,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Mustelidae,93296,180559,Active,Martes americana,marten,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,ermine,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,long-tailed weasel,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,Mink,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,badger,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,raccoon,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,black bear,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Chiroptera,Vespertilionidae,115231,203452,Active,Corynorhinus townsendii,Townsend's big-eared bat,Plecotus townsendii,Present
ROMO,Rocky Mountain National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,big brown bat,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,silver-haired bat,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,hoary bat,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Chiroptera,Vespertilionidae,88713,179994,Active,Myotis ciliolabrum,Western small-footed myotis,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Chiroptera,Vespertilionidae,88714,179995,Active,Myotis evotis,long-eared myotis,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,little brown bat,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Chiroptera,Vespertilionidae,88724,180002,Active,Myotis thysanodes,Fringed Myotis,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,long-legged myotis,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Eulipotyphla,Soricidae,88122,179929,Active,Sorex cinereus,masked shrew,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Eulipotyphla,Soricidae,88660,179946,Active,Sorex hoyi,pygmy shrew,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Eulipotyphla,Soricidae,88665,179950,Active,Sorex monticolus,montane shrew,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Eulipotyphla,Soricidae,88666,179951,Active,Sorex nanus,dwarf shrew,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Eulipotyphla,Soricidae,88127,179933,Active,Sorex palustris,water shrew,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Lagomorpha,Leporidae,89638,180112,Active,Lepus americanus,snowshoe hare,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Lagomorpha,Leporidae,89644,180118,Active,Lepus townsendii,white-tailed jackrabbit,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Lagomorpha,Leporidae,89653,180126,Active,Sylvilagus nuttallii,nuttall's cottontail,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Lagomorpha,Ochotonidae,89634,180109,Active,Ochotona princeps,pika,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,beaver,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Cricetidae,90763,180294,Active,Clethrionomys gapperi,southern red-backed vole,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Cricetidae,90768,180299,Active,Microtus longicaudus,long-tailed vole,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Cricetidae,91701,180310,Active,Microtus montanus,montane vole,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Cricetidae,91768,180371,Active,Neotoma cinerea,bushy-tailed woodrat,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Cricetidae,91772,180375,Active,Neotoma mexicana,mexican woodrat,,Probably Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Cricetidae,91709,180318,Active,Ondatra zibethicus,muskrat,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Cricetidae,90743,180276,Active,Peromyscus maniculatus,deer mouse,Peromyscus maniculatus rufinus,Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Cricetidae,260607,552496,Active,Peromyscus nasutus,rock mouse,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Cricetidae,91754,180359,Active,Phenacomys intermedius,heather vole,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Dipodidae,91785,180387,Active,Zapus princeps,western jumping mouse,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Erethizontidae,91792,180393,Active,Erethizon dorsatum,porcupine,Erethizon dorsatum epixanthum,Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Geomyidae,90690,180228,Active,Thomomys talpoides,northern pocket gopher,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Sciuridae,89669,180140,Active,Marmota flaviventris,yellow-bellied marmot,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Sciuridae,89705,180173,Active,Sciurus aberti,Abert's squirrel,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Sciuridae,89704,180172,Active,Sciurus niger,Fox Squirrel,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Sciuridae,89682,180152,Active,Spermophilus elegans,Wyoming ground squirrel,Spermophilus elegans elegans,Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Sciuridae,89684,180154,Active,Spermophilus lateralis,golden-mantled ground squirrel,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Sciuridae,89694,180163,Active,Spermophilus variegatus,rock squirrel,,Probably Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Sciuridae,90653,180195,Active,Tamias minimus,least chipmunk,Tamias minimus operarius,Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Sciuridae,90661,180201,Active,Tamias quadrivittatus,Colorado chipmunk,,Probably Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Sciuridae,90669,180209,Active,Tamias umbrinus,uinta chipmunk,,Present
ROMO,Rocky Mountain National Park,Mammal,1,Rodentia,Sciuridae,89697,180166,Active,Tamiasciurus hudsonicus,"chickaree, Pine Squirrel",,Present
ROMO,Rocky Mountain National Park,Reptile,3,Squamata,Colubridae,79032,174142,Active,Thamnophis elegans,western terrestrial garter snake,,Present
ROMO,Rocky Mountain National Park,Reptile,3,Squamata,Iguanidae,77517,173865,Active,Sceloporus undulatus,Eastern fence lizard,,Probably Present
